Timestamp,Raw_Range,Range_m
09:01:13,13.608,2.202
09:01:13,12.941,2.035
09:01:13,13.524,2.181
09:01:13,12.186,1.846
09:01:13,12.717,1.979
09:01:13,12.289,1.872
09:01:13,11.801,1.750
09:01:13,12.075,1.819
09:01:13,11.968,1.792
09:01:13,11.626,1.707
09:01:13,11.945,1.786
09:01:13,11.428,1.657
09:01:13,11.804,1.751
09:01:13,11.653,1.713
09:01:13,11.732,1.733
09:01:13,11.135,1.584
09:01:13,10.986,1.546
09:01:13,11.313,1.628
09:01:14,11.590,1.697
09:01:14,11.728,1.732
09:01:14,11.644,1.711
09:01:14,11.489,1.672
09:01:14,11.301,1.625
09:01:14,11.121,1.580
09:01:14,10.974,1.543
09:01:14,10.892,1.523
09:01:14,10.812,1.503
09:01:14,10.831,1.508
09:01:14,10.825,1.506
09:01:14,10.800,1.500
09:01:14,10.991,1.548
09:01:14,11.277,1.619
09:01:14,11.426,1.657
09:01:14,11.524,1.681
09:01:14,11.560,1.690
09:01:14,11.554,1.688
09:01:14,11.539,1.685
09:01:14,11.264,1.616
09:01:14,10.641,1.460
09:01:15,11.017,1.554
09:01:15,10.959,1.540
09:01:15,10.829,1.507
09:01:15,9.384,1.146
09:01:15,7.036,0.559
09:01:15,8.974,1.044
09:01:15,10.732,1.483
09:01:15,11.168,1.592
09:01:15,12.772,1.993
09:01:15,12.519,1.930
09:01:15,12.010,1.802
09:01:15,11.647,1.712
09:01:15,9.699,1.225
09:01:15,9.514,1.178
09:01:15,10.392,1.398
09:01:15,11.472,1.668
09:01:15,10.858,1.515
09:01:15,10.249,1.362
09:01:15,8.298,0.875
09:01:16,6.590,0.448
09:01:16,4.935,0.034
09:01:16,6.395,0.399
09:01:16,6.892,0.523
09:01:16,9.261,1.115
09:01:16,12.353,1.888
09:01:16,13.354,2.138
09:01:16,11.443,1.661
09:01:16,9.617,1.204
09:01:16,6.997,0.549
09:01:16,4.766,-0.009
09:01:16,7.773,0.743
09:01:16,10.097,1.324
09:01:16,10.504,1.426
09:01:16,7.419,0.655
09:01:16,7.944,0.786
